[Wed Nov 28 17:41:01.014980 2018] [:error] [pid 457912] [client 200.194.24.135:60325] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 901
[Wed Nov 28 17:41:01.344322 2018] [:error] [pid 457912] [client 200.194.24.135:60325] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 901, referer: https://voz.amovil.mx/Reporte
[Wed Nov 28 17:41:01.344923 2018] [:error] [pid 457912] [client 200.194.24.135:60325] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 51, referer: https://voz.amovil.mx/Reporte
[Wed Nov 28 17:41:01.344933 2018] [:error] [pid 457912] [client 200.194.24.135:60325] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 52, referer: https://voz.amovil.mx/Reporte
[Wed Nov 28 17:41:01.344945 2018] [:error] [pid 457912] [client 200.194.24.135:60325] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 214, referer: https://voz.amovil.mx/Reporte
[Wed Nov 28 17:41:03.585557 2018] [:error] [pid 457912] [client 200.194.24.135:60325] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 214, referer: https://voz.amovil.mx/Reporte
[Wed Nov 28 17:41:15.920715 2018] [:error] [pid 457999] [client 200.194.24.135:60326] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 901
[Wed Nov 28 17:41:15.920750 2018] [:error] [pid 457999] [client 200.194.24.135:60326] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 901
[Wed Nov 28 17:41:15.920755 2018] [:error] [pid 457999] [client 200.194.24.135:60326] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 901
[Wed Nov 28 17:41:16.233713 2018] [:error] [pid 457999] [client 200.194.24.135:60326] PHP Notice:  A session had already been started - ignoring session_start() in /home/voz/Core/MasterDom.php on line 901, referer: https://voz.amovil.mx/Reporte
[Wed Nov 28 17:41:16.234431 2018] [:error] [pid 457999] [client 200.194.24.135:60326] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 51, referer: https://voz.amovil.mx/Reporte
[Wed Nov 28 17:41:16.234443 2018] [:error] [pid 457999] [client 200.194.24.135:60326] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 52, referer: https://voz.amovil.mx/Reporte
[Wed Nov 28 17:41:16.234455 2018] [:error] [pid 457999] [client 200.194.24.135:60326] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 214, referer: https://voz.amovil.mx/Reporte
[Wed Nov 28 17:41:18.510532 2018] [:error] [pid 457999] [client 200.194.24.135:60326] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 214, referer: https://voz.amovil.mx/Reporte
[Wed Nov 28 17:55:11.224775 2018] [:error] [pid 458660] [client 200.194.24.135:60366] PHP Notice:  Array to string conversion in /home/voz/App/controllers/Mos.php on line 16
[Wed Nov 28 17:55:11.224797 2018] [:error] [pid 458660] [client 200.194.24.135:60366] PHP Notice:  Undefined variable: Array in /home/voz/App/controllers/Mos.php on line 16
[Wed Nov 28 18:13:03.013756 2018] [:error] [pid 457827] [client 200.194.24.135:60410] PHP Fatal error:  'continue' not in the 'loop' or 'switch' context in /home/voz/App/controllers/Mos.php on line 31
[Wed Nov 28 18:14:19.949261 2018] [:error] [pid 457912] [client 200.194.24.135:60419] PHP Fatal error:  'continue' not in the 'loop' or 'switch' context in /home/voz/App/controllers/Mos.php on line 31
[Wed Nov 28 18:15:16.297229 2018] [:error] [pid 458082] [client 200.194.24.135:60423] PHP Fatal error:  'continue' not in the 'loop' or 'switch' context in /home/voz/App/controllers/Mos.php on line 31
[Wed Nov 28 18:15:47.649108 2018] [:error] [pid 458672] [client 200.194.24.135:60425] PHP Fatal error:  'continue' not in the 'loop' or 'switch' context in /home/voz/App/controllers/Mos.php on line 31
[Wed Nov 28 18:18:18.863659 2018] [:error] [pid 457827] [client 38.79.218.111:34777] PHP Notice:  Undefined index: customer_id in /home/voz/public_html/index.php on line 7
[Wed Nov 28 18:18:34.217778 2018] [:error] [pid 458660] [client 200.194.24.135:60442] PHP Fatal error:  'continue' not in the 'loop' or 'switch' context in /home/voz/App/controllers/Mos.php on line 31
[Wed Nov 28 18:19:34.067395 2018] [:error] [pid 458660] [client 200.194.24.135:60442] PHP Notice:  Accessing static property Core\\Database::$_mysqli as non static in /home/voz/Core/Database.php on line 51
